"S. No","Project Registration No.","Name and Address of the Promoter","Project Details and Address","Approval Details","Project Completion Date","Other Details","Form-c","Current Status of the Project"
"1","TNRERA/29/BLG/0001/2026                                 dated 02-01-2026","TNUHDB, TNUHDB Division 1, Thiruvottiyur, Chennai, Tamil Nadu-600019.","Project Name: Thiruvottiyur SchemeRegistration of additional 4 Blocks namely Block -V: Stilt Floor part /Ground Floor part + 5 Floors Residential building with 66 dwelling units, Block - VI : Stilt floor part /Ground Floor part + 5 Floors Residential building with 90 dwelling units, Block -VII: Stilt floor part /Ground Floor part + 5 Floors Residential building with 90 dwelling units, Block VIII: Stilt floor part /Ground Floor part + 5 Floors Residential building with 90 dwelling units, (336 Dwelling units) at Village Street,Thiruvottiyur Chennai, comprised in Old S.No: 237/1part, T.S.No: 83/1, Block No:12, Ward -HT of Thiruvottiyur Village, Thiruvottiyur Taluk, Chennai District.","CMDA issued Planning permission No. C/27/2025 A to D  in Letter No. PC/NHRB/N/6076/2024 dated 12/12/2025. The Greater Chennai Corporation issued Building permission  in Letter No. CEBA/WDCN01/00539/2025 dated 22/12/2025.","21.12.2030","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.163286;Longitude-80.301217;","",""
"2","TNRERA/29/BLG/0002/2026                                 dated 02-01-2026","K.L.BUILDERS, Door No.NO.29/30, SARAVANA NAGAR, KUNDRATHUR, CHENNAI, Kancheepuram, Tamil Nadu-600056.","Project Name: K.L.HOMESRegistration for promoter share of flat nos.(F1, T1, T2, T3, T4, F6) Totally 6 flats Proposed construction of Stilt Floor + 2 Floors + 3rd Floor Part Residential Building (Height-13.40m) with 16 Dwelling Units at Old Door No.17/1, Desikar Street, vadapalani, Chennai comprised in T.S.No.19A (as per Document) and T.S.No.19/2(as per patta), Block No.5 of Kodambakkam Village(Part-1), Mambalam Taluk within the Limits of Greater Chennai Corporation, Chennai District.","CMDA issued planning permission in P.P.No.OL-PP/NHRB/0235/2025 vide Letter No. CMDA/PP/NHRB/C/0121/2025 Dated 24/06/2025. Greater Chennai Corporation issued building permission in Letter No. CEBA/WDCN10/00287/2025, Dated 11/07/2025.","30.06.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.04864;Longitude-80.211372;","",""
"3","TNRERA/16/BLG/0003/2026                                 dated 02-01-2026","M/s. ROHINI PALMS rep by its Authorised Signatory Thiru. M.ANAND, Door No.42 C, RACE COURSE ROAD, KAJAMALAI, Tiruchirappalli, Tamil Nadu-620023.","Project Name: ROHINI PALMSRegistration for Stilt Floor + 5 Floors with 49 Dwelling Units at Town Survey No. 75/4 of Ward - AG, Block No.33, K.Abhishekapuram Village, Ponmalai Taluk, Tiruchirappalli District.","The Joint Director, T&CP, Tiruchirappalli District has issued Planning Permission in Planning Permission No. 63/2025 in Letter ROC No. SWP/BPA/474361/2025, dated 09/05/2025. The Assistant Commissioner, Tiruchirappalli Corporation has issued Building Permission in Letter RC No. 086/BL/2025/00336, dated 29/07/2025.","08.05.2033","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.776609;Longitude-78.692891;","",""
"4","TNRERA/29/BLG/0004/2026                                 dated 02-01-2026","M/s. Nexa Infra Projects, Door No.W 736/1, 1ST FLOOR EAST MAIN ROAD, Mogapair, Chennai, Tamil Nadu-600101.","Project Name: ASTARegistration for Developer's Share of Flat Nos. 12/7, 12/8, 12/9, 12/10, 1A, 2A, 3A, 4A, 5A (Totally 09 Flats) Group Development of 2 Blocks Block A & B consists of Block A: Stilt Floor (Parking) + 5 Floors Residential building with 10 Dweling Units & Block B: Stilt Floor (Parking) + 5 Floors Residential building with 05 Dweling Units (18.30m height) Totally 15 Dwelling Units availing with Premium FSI at HIG Residential Apartment Flat No. 12/1, 12/2, 12/3,12/4, 12/5, 12/6, J.J. Nagar East Scheme (162 HIG Flat Mogappair East Scheme), Vellalar Street and Plot No. 81, Paneer Nagar, Mogappair, Chennai – 600 037 Comprised in Survey Nos. 245/2, 245/3 Town Survey Nos. 29/2, 29/3, 65/2 & 65/3, Block No.36, Ward-H of Mogappair Village, Ambattur Taluk, Chennai District.","CMDA issued Planning Permission in OL-PP/NHRB/0471/2025 in Letter RC No. CMDA/PP/NHRB/N/0676/2025, dated 25/11/2025. The Executive Engineer (T.P), Greater Chennai Corporation has issued Building Permission in Letter RC No. CEBA/WDCN07/00525/2025, dated 16/12/2025.","13.12.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-130503.6;Longitude-801029.8;","",""
"5","TNRERA/35/BLG/0005/2026                                 dated 02-01-2026","M/s. CASA GRANDE AXIOM PRIVATE LIMITED, New No.111, Old No. 59 ,  NPL Devi, L B Road, Thiruvanmiyur,, Chennai - 600041, Chennai, Tamil Nadu-","Project Name: CASAGRAND GLENMERERegistration for Ground Floor + First Floors with 110 dwelling units comprised in S.No. 1009/12A, 1009/12B, 1009/12C, 1009/12D, 1009/12E, 1009/12F, 1009/13A, 1009/13B, 1009/13C, 1009/14, 1009/17A, 1009/17B, 1010/1, 1010/2, 1010/3, 1011/1, 1011/2, 1011/3, 1439/2C, 1439/2D, 1439/3A1 & 1439/3B of Thaiyur B Village, Thiruporur Taluk, Chengalpattu District.","The President, Thaiyur Panchayat, Thiruporur Taluk, Thiruporur Panchayat Union, Chengalpattu District issued Building permission in Letter No. SWP/SCM/DTCP/RP/0305683/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0306555/2025Dated - 14/11/2025, SWP/SCM/DTCP/RP/0308182/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308224/2025 Dated - 17/11/2025, Roc No:45/2025-26 Dated - 01//12/2025, SWP/SCM/DTCP/RP/0308192/2025 Dated - 17/11/2025, SWP/SCM/DTCP/RP/0308209/2025 Dated - 17/11/2025, SWP/SCM/DTCP/RP/0308275/2025 Dated -17/11/2025, SWP/SCM/DTCP/RP/0306014/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306015/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306016/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306017/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306018/2025 Dated - 14/11/2025, SWP/SCM/DTCP/RP/0306020/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0308486/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0305916/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305925/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305932/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305938/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305941/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305943/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305946/2025 Dated - 13/11/2025, SWP/SCM/DTCP/RP/0305951/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305953/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0308490/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0305958/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305960/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305963/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305964/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305968/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305970/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305971/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305973/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0305974/2025 Dated – 13/11/2025, SWP/SCM/DTCP/RP/0308485/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0306571/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306619/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306023/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306025/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306026/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306028/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306027/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306029/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306030/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/03060231/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305977/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305981/2025Dated – 14/11/2025, SWP/SCM/DTCP/RP/0305983/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305984/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305985/2025Dated – 14/11/2025, SWP/SCM/DTCP/RP/0305986/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305988/2025Dated – 14/11/2025,SWP/SCM/DTCP/RP/0305989/2025Dated – 14/11/2025, SWP/SCM/DTCP/RP/0309998/2025Dated – 19/11/2025,Roc No:43/2025-26Dated – 01/12/2025SWP/SCM/DTCP/RP/0306032/2025 Dated – 14/11/2025 SWP/SCM/DTCP/RP/0306033/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306034/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0308481/2025 Dated – 17/11/2025 SWP/SCM/DTCP/RP/0306036/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0308236/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308257/2025 Dated – 17/11/2025 SWP/SCM/DTCP/RP/0306037/2025 Dated – 14/11/2025,SWP/SCM/DTCP/RP/0306038/2025 Dated – 14/11/2025, SWP/SCM/DTCP/RP/0306039/2025 Dated – 14/11/2025 SWP/SCM/DTCP/RP/0308483/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308475/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308458/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308471/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308920/2025 Dated – 18/11/2025,SWP/SCM/DTCP/RP/0308454/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308439/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308343/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307974/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308105/2025Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307321/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307334/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307345/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0308431/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0309562/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0307941/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307926/2025 Dated – 17/11/2025, WP/SCM/DTCP/RP/0308086/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307322/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307357/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307358/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307366/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0310252/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0309089/2025 Dated – 19/11/2025, SWP/SCM/DTCP/RP/0308898/2025 Dated – 18/11/2025, SWP/SCM/DTCP/RP/0307428/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0308452/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0308012/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307332/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307372/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307379/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307381/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307394/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0308421/2025 Dated – 17/11/2025, SWP/SCM/DTCP/RP/0307418/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307417/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307413/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307412/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307397/2025 Dated – 15/11/2025, SWP/SCM/DTCP/RP/0307986/2025 Dated – 17/11/2025, Roc No:44/2025-26 Dated – 01/12/2025, SWP/SCM/DTCP/RP/0309552/2025 Dated 19/11/2025, SWP/SCM/DTCP/RP/0309567/2025 Dated – 19/11/2025, Roc No:46/2025-26 Dated – 01/12/2025.","28.02.2028","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.75716;Longitude-80.183286;","","Registration CancelledRevised Registration given in Registration No. TNRERA/35/BLG/0085/2026 dated 10/03/2026"
"6","TNRERA/29/BLG/0006/2026                                 dated 02-01-2026","M/s.VOORA PROPERTY DEVELOPERS PVT LTD,M/s.SRI AGASTYAR TRUST, Door No.NO.139,, DR.RADHA KRISHNAN SALAI,, Taluk.Mylapore, Chennai, Tamil Nadu-600004.","Project Name: VOORA AGASTYA HEIGHTSRegistration for Proposed Construction of  High rise Group Development Building for Residential Use consisting of Stilt Floor (for Parking Use) + 13 Floors with 52 Dwelling Units (with Height 42m) availing Premium FSI with TOD benefit at New Door No. 231 & 232, Old Door No. 293 & 294 abutting Thiruvottiyur High Road comprised in T.S.No. 3659/1 (Part) & 3661/1 (Part), Block No. 54 of Tondiarpet Vilage, Tondiarpet Taluk within the limits of Greater Chennai Corporation, Chennai District.","CMDA  issued planning permission in P.P.No.OL-PP/HRB/0043/2025 Letter No. CMDA/PP/HRB/N/0890/2024  dated 24/11/2025. Greater Chennai Corporation issued building permission in Letter No.CEBA/WDCN04/00515/2025 Dated 10/12/2025.","31.12.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-13.124603519582289;Longitude-80.28898543163312;","",""
"7","TNRERA/11/BLG/0007/2026                                 dated 02-01-2026","M/s Dhiya Foundation Pvt Ltd, S.Ravishankar, Antony Chacko C V & Shaju Varghese, No 22/1, PRR Nagar, PN Pudur, Coimbatore Village , Coimbatore, Coimbatore, Tamil Nadu-641041.","Project Name: Dhiya’s AurumRegistration for Stilt + 5 Floors with 10 dwelling units comprised in T.S.No. 170,171, Block No: 21, Coimbatore LPA , Coimbatore District.","Joint Director, T&CP, Coimbatore LPA issued planning permission in Letter No. SWP/BPA/676792/2025, Dated 29/10/2025. Commissioner, Coimbatore Corporation issued building permission in Letter No.  162/BL/2025/03/045/02020 dated 08/12/2025.","30.12.2026","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.029674;Longitude-76.946829;","",""
"8","TNRERA/10/BLG/0008/2026                                 dated 05-01-2026","E SARAVANAN and JAGANATHAN, Door No.71, Kaniampalayam, Kagam Village , Erode, Taluk.Sivagiri, Erode, Tamil Nadu-638109.","Project Name: BLUELEAF GRANGERegistration for Stilt Floor + 5 Floors Residential Building with 45 Dwelling Units comprised in Survey No. 517/1B2 of Erode 'C' (Kasipalayam) Village, Erode Taluk, Erode District.","The Deputy Director(i/c), T&CP, Erode, issued Planning Permission No. 12/2024 in Application No. SWP/BPA/031932/2024 Dated 08/04/2024. The Commissioner, Erode Corporation, issued Building Permission in Letter No. 056/BL/2025/00010, Dated 07/01/2025.","31.12.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-11.0297695;Longitude-77.693156;","",""
"9","TNRERA/29/BLG/0009/2026                                 dated 05-01-2026","M/s. Sri Suprabhatham Builder rep by its Proprietor Mr.R.RAVICHANDRAN and Mr.C.S.KARTHIK, NO.21/1, 21st STREET, 4th MAIN ROAD, NANGANALLUR,, Chennai, Tamil Nadu-600061.","Project Name: ELITERegistration for Ground Floor (Part) / Stilt Floor (Part) + 3 Floors Commercial cum Residential Building with 6 Dwelling units (GF – Gym, FF – Office, 2F & 3F – Residential) at Plot No.3 & 6, Bazaar Road (MadipakkamVelachery Main Road) and Vallalpari Street, Ram Nagar, Madipakkam, comprised in Old S.No.94/1A (Part) (Document), and S.No.94/1A1A2A & 94/1A1A2B (Patta) of Madipakkam Village, Chennai District.","CMDA issued Planning permission No. OL-PP/NHRB/0043/2025 in Letter No. CMDA/PP/NHRB/S/0801/2024 dated 11/02/2025.  The Greater Chennai Corporation issued Building permission  in Letter No.  CEBA/WDCN14/00089/2025 dated 27/02/2025.","31.12.2029","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-12.964419;Longitude-80.211566;","",""
"10","TNRERA/17/BLG/0010/2026                                 dated 05-01-2026","M/S.COGIPRO DESIGN AND CONSTRUCTION, Door No.9/832/1, Rasi Nagar, Chinnandankoil Road,  Andankoil East Village, Taluk.Manmangalam, Karur, Tamil Nadu-639002.","Project Name: URBANESTRegistration for Stilt Floor + 4 Floors Residential building with 16 dwelling units at comprised in Survey Nos.2145/1A ,1D,1E & 2146/2A in Plot Nos.2, 3 & 4 of Andankoil East Panchayat / Village, Thanthoni Panchayat Union, Manmangalam Taluk, Karur District.","The Assistant Director, T&CP, Karur District issued Planning Permission No.BP/DTCP(K.D) No.27/2024 in Letter No.SWP/BPA/393220/2024 dated 03/12/2024. The President, Andankoil East Village Panchayat issued Building Permission in Letter Roc No.86/2024-2025 dated 16/12/2024.","30.09.2027","Promoter Details                                                                     Project Details                                                                     Location of Site: Latitude-10.958643;Longitude-78.061650;","",""
